合計 , 男 , 女 
總計 ,2504597,1192907,1311690
松山區 ,191481,89637,101844
信義區 ,205343,97566,107777
大安區 ,289649,135113,154536
中山區 ,213203,98864,114339
中正區 ,149338,71048,78290
大同區 ,119885,58019,61866
萬華區 ,175373,85706,89667
文山區 ,259768,124136,135632
南港區 ,115009,56052,58957
內湖區 ,274842,130918,143924
士林區 ,267597,129102,138495
北投區 ,243109,116746,126363
