合計,男,女
總計,2460932,1169771,1291161
松山區,187552,87625,99927
信義區,201951,95884,106067
大安區,280332,130596,149736
中山區,210156,97114,113042
中正區,146628,69663,76965
大同區,118065,57003,61062
萬華區,172692,84212,88480
文山區,256097,122161,133936
南港區,113608,55187,58421
內湖區,271426,128956,142470
士林區,262807,126609,136198
北投區,239618,114761,124857
