合計 , 男 , 女 
總計 ,2514425,1197417,1317008
松山區 ,192511,90081,102430
信義區 ,206209,97951,108258
大安區 ,290419,135471,154948
中山區 ,214563,99484,115079
中正區 ,149962,71337,78625
大同區 ,120224,58198,62026
萬華區 ,175961,85994,89967
文山區 ,260641,124536,136105
南港區 ,115384,56230,59154
內湖區 ,275847,131412,144435
士林區 ,268608,129518,139090
北投區 ,244096,117205,126891
