合計 , 男 , 女 
總計 ,2470599,1175883,1294716
松山區 ,188069,87962,100107
信義區 ,202379,96193,106186
大安區 ,285886,133357,152529
中山區 ,209798,97134,112664
中正區 ,146995,69905,77090
大同區 ,118331,57203,61128
萬華區 ,173088,84531,88557
文山區 ,256311,122373,133938
南港區 ,113660,55298,58362
內湖區 ,271594,129227,142367
士林區 ,263527,127046,136481
北投區 ,240961,115654,125307
