合計,男,女
總計,2464452,1172552,1291900
松山區,187965,87876,100089
信義區,201846,95939,105907
大安區,282337,131598,150739
中山區,209855,97126,112729
中正區,147034,69871,77163
大同區,118281,57133,61148
萬華區,172855,84377,88478
文山區,256262,122342,133920
南港區,113645,55274,58371
內湖區,271490,129142,142348
士林區,263013,126782,136231
北投區,239869,115092,124777
