合計,男,女
總計,2465610,1171422,1294188
松山區,187993,87789,100204
信義區,202368,96009,106359
大安區,281411,131036,150375
中山區,210776,97332,113444
中正區,146970,69795,77175
大同區,118354,57128,61226
萬華區,172819,84211,88608
文山區,256418,122248,134170
南港區,113612,55193,58419
內湖區,271749,129053,142696
士林區,263360,126822,136538
北投區,239780,114806,124974
