合計,男,女
總計,2490445,1186053,1304392
松山區,189961,88894,101067
信義區,204052,96971,107081
大安區,288292,134510,153782
中山區,211945,98259,113686
中正區,148249,70520,77729
大同區,119188,57653,61535
萬華區,174390,85213,89177
文山區,258278,123384,134894
南港區,114285,55673,58612
內湖區,273414,130217,143197
士林區,266036,128378,137658
北投區,242355,116381,125974
