合計,男,女
總計,2461695,1170539,1291156
松山區,187857,87813,100044
信義區,201787,95854,105933
大安區,280720,130795,149925
中山區,210047,97111,112936
中正區,146726,69709,77017
大同區,118027,57000,61027
萬華區,172768,84282,88486
文山區,256062,122183,133879
南港區,113573,55189,58384
內湖區,271422,129010,142412
士林區,262985,126713,136272
北投區,239721,114880,124841
