合計,男,女
總計,2462482,1171248,1291234
松山區,187940,87842,100098
信義區,201694,95830,105864
大安區,280696,130784,149912
中山區,210000,97132,112868
中正區,146901,69812,77089
大同區,118164,57082,61082
萬華區,172832,84341,88491
文山區,256288,122327,133961
南港區,113650,55254,58396
內湖區,271495,129092,142403
士林區,263032,126787,136245
北投區,239790,114965,124825
